plan,discovery_facts,discovery_evidence,execution_plan,execution_evidence,boot_guard,boot_evidence,input_safety,safety_evidence
opus-5,4,"hostname=ithilien; /dev/md127p1 2.1T/544G; yt-dlp pinned 2026.06.21; archive.txt 1042 entries",3,"build&&vet&&test gate; rebuild in a worktree NOT the deployed dir, alternate port; out-of-scope list",4,"cites hard-fail on len(cfg.Jobs)==0; fail only when no jobs AND web UI disabled",3,"textContent never innerHTML since titles are attacker-influenced; subtle.ConstantTimeCompare; 0.0.0.0 warning"
sonnet-5,3,"pinned full SHA; HEAD e6800b5 already has internal/webui; Go 1.24.0; mount is .../cache/brewiarz",3,"ordered §1-7 + exact compose/config deltas + 7-step e2e incl. mid-download restart regression",4,"relax len(cfg.Jobs)==0 to only error when !cfg.Global.WebUI.Enabled too",1,"routes say POST /submit (validate ...) but no host rule; html/template only"
glm-5.3,4,"gompd v2.3.0 API verified from module cache (Attrs/Status keys/ErrorUpdateAlready, not concurrency-safe); mpd_player.go:33-46",4,"checkout -b webui bfe645af; one foreground subagent per commit, sequential; build/vet/test per commit",1,"Load() still requires >=1 job (test configs carry a dummy job) - worked around, not named as bug",4,"400 for non-YT host, exact-match allowlist youtube.com/www/m/music + youtu.be, w/ URL-allowlist unit test"
fable-5 v2,4,"verified MPD decodes webm/opus/m4a; bfe645af shares no ancestor w/ main and is on no branch; mpd_player.go:35-47",4,"step 0 clone+branch; agents A-D w/ exact commit msgs, B parallel to A, C after A+B; build/vet/test",4,"Relax Load(): 'no jobs configured' only an error when web_ui.enabled is false",2,"validate URL (youtube.com / youtu.be / music.youtube.com); matching form unspecified"
opus-4-7,3,"file:line refs mpd_player.go:16-52/:33, config.go:82-114, ytdlp.go:54-60; archive.txt verified present",2,"new/edited file map + ordered build/rsync/docker-compose-up deploy steps; no commit split",0,"never mentions the len(Jobs)==0 guard",0,"silent on URL allowlist, exec args, XSS, traversal"
gpt-5.5,3,"main.go:19, config.go:19/:66, app.go:29, ytdlp.go:39, mpd_player.go:16; yt.sh verbatim; mpd 192.168.10.22:6600",2,"§1-7 in implementation order + deployment deltas; no commit/subagent discipline or per-commit gates",4,"jobs may be empty when web_ui.enabled; keep rejecting neither; + unit test for exactly that",3,"parse with net/url, accept only youtube.com + subdomains + youtu.be; test rejects other hosts"
qwen3.5-397b,2,"cites bfe645af and later eefb43b webui; but no versions, no line refs, mostly requirements not facts",2,"Phase 1-4 with numbered sub-items + files to modify/create; no commits, gates or deploy sequence",0,"no mention of the jobs guard (states 'no jobs-guard relax' is absent entirely)",0,"gin + html/template + basic auth only; no URL validation or XSS handling"
glm-5.2-cloud,3,"commit bfe645a; MPD 192.168.10.22:6600; existing cache path; baseArgs/prepareCookies/binary named",3,"4-5 foreground subagents, each cd's into repo, commits per-fix on master, no MRs; 10-step verify",0,"never mentions the boot guard",2,"validate URL is youtube.com/youtu.be and reject others; matching form unspecified"
opus-4-8,4,"'Established facts' block: Go 1.24 + 3 deps, MPD 0.23.5, 560G free, aarch64, mount gap, Load() behaviour",4,"5-way subagent split, each a separate commit per repo conventions, straight to main GPG-signed",4,"Relax Load(): only error on len(Jobs)==0 when !Global.Web.Enabled",0,"silent on allowlist, exec args, XSS and traversal (only auth constant-time compare)"
fable-5 v1,2,"names deps cron/gompd/yaml + package layout + RPi 4B, but reflog-reconstructed and flagged unverified",3,"implementation order 1-7 incl. pre-flight git show/ssh verify, branch from bfe645af, commit per logical step",3,"relax the 'no jobs configured' fatal in Load()/main.go for web-UI-only operation; no exact condition",2,"URL passed as a single exec argument - no shell interpolation (injection-safe)"
kimi-k2.7-code-cloud,2,"yt.sh verbatim, existing brewiarz cache path, network_mode host, baseArgs/prepareCookies named; no versions",2,"§1-7 + files-to-modify list + 7-step verification; no commit split or per-commit gates",3,"move the 'no jobs configured' fatal out of config.Load into main.go so web-only mode runs",3,"dedicated Security/safety §: exec.Command arg so no shell injection; bind 127.0.0.1 option; archive race"
minimax-m3,3,"reuse audit w/ line numbers (ytdlp.go:39, mpd_player.go:25); module path != dir name; after_move gives 1 line",2,"§1-8 ordering + critical files + 10-step verify incl. byte-identical Download regression",0,"never mentions the jobs guard (says only 'all fields optional')",2,"render via textContent (no innerHTML); but user-supplied subdir has no traversal check"
nemotron-3-ultra-cloud,2,"cites commit SHA + legacy template/dir, but flags 'need to verify internal/player/mpd.go exists'",2,"§1-7 + 8-step manual verification; several choices left undecided (stdlib vs gin, polling vs SSE)",0,"no mention of the jobs guard",0,"optional basic auth only; no URL validation, XSS or exec-arg discussion"
deepseek-v4-pro,2,"coherent read of real arch (applyDefaults, PlayWithMPD, config.go), but no commit SHA, versions or line refs",2,"explicit Implementation Order 1-8 + 8-step verification; no commits, gates or subagents",0,"never mentions the jobs guard",1,"validate URL contains youtube.com or youtu.be - substring match, weakest allowlist form"
gemma4-31b-cloud,1,"names PlayWithMPD internals and the legacy template but cites no versions, paths-verified or line refs",1,"per-file section list, local-then-remote verify; no ordering discipline or commands",0,"no mention of the jobs guard",0,"silent on all input/command safety"
sonnet-4-6,3,"/media/music/youtube 2.1TB ext4 w/ existing archive.txt; config.go line 76-78; app.go field a.ytdlp",2,"Step 1-6 incl. deployment + 8-step verification; no commit split or gates",4,"literal code: if len(cfg.Jobs)==0 && !cfg.Global.Web.Enabled -> 'no jobs configured'",1,"'validate URL' in route table + html/template consts; no host rule, no XSS note"
gpt-oss-20b,1,"names Download/PlayWithMPD/Player.Timeout but path cmd/yt-daily-player/ is wrong; no verified facts",2,"Tasks 1-9 incl. graceful shutdown, httptest integration test, README; deliverables list",0,"no mention of the jobs guard",2,"sanitize job names stripping non-alphanumerics; html/template; flags unprotected UI + optional CSRF"
gemini-3-flash-preview-cloud,1,"lists real file paths and the legacy template; no versions, line refs or verified environment facts",1,"5 per-file sections + critical files + 6 verification bullets; no ordering or commands",0,"no mention of the jobs guard",0,"silent on all input/command safety"
qwen3.5-cloud,2,"cites yt-rpi-player-cache path, ytsearchdate, list.sh and real yt.sh flags; no versions or line refs",1,"'Files to modify' 1-6 + 4 verification bullets; no sequencing discipline",0,"no mention of the jobs guard",0,"silent on all input/command safety"
gemma4-agent-26b,1,"names files and the legacy template only; no verified environment facts",2,"§1-5 by file + verification plan incl. curl API tests",0,"no mention of the jobs guard",0,"silent on all input/command safety"
gpt-oss-120b,1,"names YtDLP.DownloadDir and the template; file internal/ytdlp/client.go does not exist",2,"Steps 1-7 incl. main.go wiring snippet, docker ports, httptest tests, README",0,"no mention of the jobs guard",0,"silent on all input/command safety"
qwen3-coder-480b-cloud,2,"restates current naming %(uploader)s - %(title)s [%(id)s] + cache dir + host networking; nothing verified",1,"Phase 1-4 content-free ('create responsive web interface'); no files, commands or ordering",0,"no mention of the jobs guard",1,"Security Considerations lists 'input validation for YouTube URLs' + rate limiting, no mechanism"
mistral-large-3-675b-cloud,1,"names existing client and gets the legacy template wrong; no verified facts",2,"§1-7 by concern incl. Dockerfile/compose changes + 3-group verification",0,"no mention of the jobs guard",1,"Gin basic-auth middleware; 'invalid YouTube URLs' only as a verification edge case"
gemma4-26b,1,"knows it is cron + mpv/mpd with a download_dir; nothing else concrete",1,"backend/frontend sections + manual/integration verify; no ordering, no file-level plan",0,"no mention of the jobs guard",0,"silent on all input/command safety"
qwen-2.5-coder-14b,0,"assumed Python/Flask; investigation commands shown but no result ever established",1,"5 coarse steps (investigate/design/integrate/implement/test); no files, no commands executed",0,"no mention of the jobs guard",0,"silent on safety; Flask app.run(debug=True) is actively unsafe"
