Rank,Plan,Tier,Grounded,MPD semantics,Checkboxes,yt.sh template+archive,New method vs modify Download,Async queue,Auth,Host-net handling,History,Docker mount,Persistence,Config shape,Tests,Crash resilience,Frontend approach,Audio codec/format,Video codec/format,total_tokens,total_%_of_min,total_%_of_max,output_tokens,output_%_of_min,output_%_of_max
1,opus-5,S,"DEEPEST OF FIELD + empirically validated (2 Explore subagents; ssh'd pi@192.168.10.22 read real /home/pi/scripts/yt.sh AND list.sh AND /etc/mpd.conf; verified ithilien==the pi via hostname; found /media/music is local ext4 RAID md127p1 2.1T/544G free NOT a remote mount; counted archive.txt=1042 entries; found yt-dlp pinned nightly 2026.06.21 w/ 403 warning; PROBED THE LIVE DEPLOYMENT (HTTP 200, /api/jobs=[] vs 117 events in history.jsonl) and found a real write-only-history BUG upstream; 3 AskUserQuestion rounds","enqueue, never auto-play (new EnqueueMPD: one Update per distinct parent dir + wait for rescan + AddID(rel,-1) per file, NO PlayID, no blocking status loop; extracts mapToMusicRoot from PlayWithMPD; keeps explicit Update despite auto_update=yes because inotify lags on 1.3TB tree and AddID fails on unindexed path)",2 independent (Queue in MPD / Download video) - per brief; deliberately no auto-play,Full + shares the EXISTING 1042-entry archive.txt as single dedup ledger (-i + --add-metadata + byte-identical nested template); keeps literal NA dir deliberately for yt.sh consistency,DownloadMedia new method (Download untouched); explicitly BECAUSE existing Download takes last stdout line which breaks on playlists - collects ALL DONE: lines instead,worker pool (max_concurrent default 2) + buffered chan + per-job context.WithTimeout(2h) + non-blocking Enqueue returns error when queue full + per-URL mutex (archive.txt is append-only w/o locking) + deep-copy Get/List to avoid data race,optional Basic auth (crypto/subtle.ConstantTimeCompare) + logs a warning when creds empty since listener is 0.0.0.0 on host network,"no ports needed - verify dont re-add (compose already host-net + path-identical bind mount; notes that path identity is what makes MPD URI mapping work, preserve it)",durable history.jsonl + REPLAYED INTO /api/jobs (fixes the write-only bug found live upstream),"already path-identical bind mount - verified, preserve (no widening needed at this revision)",DURABLE JSONL (append-only O_APPEND mutex-guarded; List folds events to per-ID snapshots; merged with in-mem state so table survives restart),web_ui: 9-field (enabled/listen/username/password/download_dir/archive_path/max_concurrent/timeout/history_path) + applyDefaults + relax len(Jobs)==0 guard (fail only when no jobs AND web disabled),"establishes the pattern (repo has zero _test.go): table-driven stdlib only - ytdlp arg-construction + byte-identical template + multi-item DONE-collector regression; player mapToMusicRoot; config defaults/guard matrix; webui History round-trip + httptest handlers (checkbox mapping, 303, 404, 401)",defer recover() per job so one bad job cannot kill the process + panic->500 recoverer middleware + per-job timeout + graceful srv.Shutdown(10s) before cron stop,"stdlib net/http ServeMux only (Go 1.22 method patterns), //go:embed templates+static, app.js polls /api/jobs every 2s, XSS-safe textContent never innerHTML",-x --audio-format m4a (new; yt.sh has no audio-only mode),-f bestvideo+bestaudio --merge-output-format mkv (identical to yt.sh),8584462,8478.9%,88.6%,88457,32050.4%,93.4%
2,sonnet-5,S,Deepest+verified (4 subagents: Explore@bfe645af + ssh ithilien + read yt.sh; notes HEAD already has webui/ and ignores it),enqueue (EnqueueFiles AddID in order; poll updating_db not sleep; no play),2 independent (both default off),Full + %(playlist_title|)s NA-dir fix + shared archive dedup,DownloadBatch + buildDownloadArgs (Download untouched; --print-to-file not last-line hack; partial-success semantics),worker pool (concurrency buffered chan) + per-job job_timeout ctx,Basic auth enforced if user+pass set (crypto/subtle),no ports / host net (widen mount only),durable JSONL + crash-reconciliation,widen to full /media/music/youtube:rw,DURABLE JSONL (event log; interrupted->failed on restart),web_ui: 9-field (auth/concurrency/job_timeout/archive/history) + relax jobs guard + require download_dir,RICHEST: unit (config/args/relativize/store-crash/pool/auth httptest/handlers httptest) + manual + e2e-with-restart-regression,extracted helpers + per-job timeout ctx + crash-reconcile on restart (no recover),//go:embed html/template (index/jobs/detail) + meta-refresh while active no JS,-x --audio-format m4a,bestvideo+bestaudio --merge mkv,3720272,3674.5%,38.4%,94742,34326.8%,100.0%
3,glm-5.3,S,"VERIFIED + library-level (2 subagents incl. a read-only Explore pinned to bfe645af; ssh'd pi@ithilien repeatedly: real ~/scripts/yt.sh, config.yaml, MPD music_directory, readlink/df on /media/music vs /media/pi/music, and even LOOKED FOR existing */NA dirs in the legacy tree to confirm the NA behaviour is pre-existing; verified gompd v2.3.0 API surface from the module cache - Attrs map, Status keys, AddID/PlayID/SeekSongID/Pause/Update semantics, ErrorUpdateAlready, no-ctx + not-concurrency-safe); 3 AskUserQuestion rounds; notes master already has a different webui and will conflict","enqueue + override + RESUME PRIOR at saved position: relativize vs MusicRoot (extract shared helper), Update(commonAncestorDir) + poll updating_db 1s cap 5m (replaces blind 30s sleep), snapshot state/songid/elapsed/was-paused, AddID each + PlayID(first), poll 2s until stop or songid not in newIDs (manual skip = done, documented), then PlayID(prior)+SeekSongID+re-pause; PlayWithMPD untouched",2 independent (music only / schedule via MPD),"Full + shared archive.txt at dir root; DELIBERATELY keeps the Uploader/NA/<title> layout after verifying */NA dirs already exist in the legacy tree - 'consistent by definition, don't fix'","DownloadTo(ctx,opts) in a NEW file internal/ytdlp/download_to.go with a pure buildDownloadArgs for unit testing; existing Download + cron template untouched; reuses baseArgs/prepareCookies",N download workers + separate serial playback goroutine (MPD is a single stream) + per-job context.WithTimeout; max_concurrent default 1 to avoid archive.txt double-download,optional basic auth (constant-time compare) when username+password both set,"host network -> :8080 on LAN, NO port mapping; flags compose must mount /media/music/youtube RW (today only the brewiarz cache is mounted; archive.txt must be writable)","in-mem Store (mutex+map+order, cap 100 jobs, Log<=200 lines) - no on-disk persistence",MUST widen: mount /media/music/youtube:/media/music/youtube rw (identified today only brewiarz cache is mounted),in-memory only (Store capped at 100 jobs); restart loses job history AND resume memory (documented as accepted limitation),"web_ui: 6-field (enabled/listen/username/password/download_dir/max_concurrent/timeout) + download_dir falls back to global.ytdlp.download_dir, error if neither; applyDefaults; deliberately KEEPS the >=1-job requirement (test configs carry a dummy job)","unit: buildDownloadArgs table test + URL-allowlist test + Store race test (-race); go build/vet/test per commit; local e2e asserting exact path <Uploader>/NA/<Title> (<id>).m4a + archive re-POST + 400 on vimeo; on-ithilien e2e on an ISOLATED port/dir covering resume, paused, idle and manual-skip cases with cleanup",panic-recover middleware + per-job timeout ctx + graceful http.Server shutdown; no recover() around workers,"//go:embed static/index.html, vanilla JS, no new deps; job cards w/ status/file-count/log tail, polls /api/jobs 2s; Go 1.22 route patterns","-f ""bestaudio[ext=m4a]/bestaudio"" native, no re-encode (decided via AskUserQuestion)",-f bestvideo+bestaudio --merge-output-format mkv,2250029,2222.8%,26.2%,68233,3881.3%,77.1%
4,fable-5 v2,S,"VERIFIED (clean re-run 2026-08-19 after the original's Bash outage): git show @bfe645af all source, Read local ~/scripts/yt.sh, ssh'd pi@ithilien for config.yaml + docker ps + systemd + MPD codec support (verified webm/opus/m4a decode); discovered bfe645af shares NO ancestor with current main (public-release rewrite) and is on no branch; 4 AskUserQuestion rounds (audio format / MPD semantics / NA-dir naming / branch+deploy target)","enqueue + autoplay + RESUME PRIOR ITEM at saved position (unique in field): AddID per file, remembers (songid,elapsed), PlayID first, restores afterwards; polls updating_db instead of the 30s sleep; ports commit 4035aad LIFO resume stack + shared background watcher rather than redesigning","2 independent (Download video / Queue in MPD, both default off)",Full + agreed NA-dir fix (single video drops the playlist dir) AND aligns the legacy yt.sh itself to match; -i + --download-archive + --embed-metadata,"Probe() + DownloadMedia(ctx,opts,onFile callback) new; existing Download untouched; reuses baseArgs/prepareCookies/--print after_move idiom",worker pool (max_concurrent) + per-job context.WithTimeout(2h) + streaming per-file callback driving incremental MPD enqueue,optional HTTP basic auth (enabled when password set),verify docker-compose mounts /media/music and uses host networking (no ports added),"optional history_path JSON persistence (load at start, save on state change)",verify existing /media/music mount + host networking rather than re-adding,"optional JSON history_path (in-mem job store + persist on state change) - opt-in, not default",web_ui: 9-field matching the ALREADY-DEPLOYED config.yaml schema so it drops in without edits; applyDefaults; relax no-jobs error unless web_ui disabled,"table tests for ytdlp arg/template construction + unit tests for MPD path translation + go build/vet/test + local e2e (audio, playlist, re-submit already-archived) + LAN e2e on ithilien",graceful HTTP shutdown on signal ctx + per-job timeout ctx (no recover),"stdlib net/http + embed only, no new Go deps; embedded index.html + 2s polling jobs table","-f bestaudio native container, NO re-encode (verified ithilien MPD decodes webm/opus/m4a) - deliberate deviation from -x m4a, agreed via AskUserQuestion",bestvideo+bestaudio --merge-output-format mkv,3001693,2964.6%,35.0%,81726,4648.8%,92.4%
5,gpt-5.5,S,Deep+verified (file:line main.go:19/config.go:66/app.go:29/ytdlp.go:39/mpd_player.go:16; read legacy yt.sh; targets bfe645af),enqueue (QueueWithMPD AddID append; separate UpdateMPD; PlayWithMPD only if Play-checkbox; no interrupt),4 independent (update/queue/play/video; all default off),Full (-i + --download-archive + --add-metadata + nested template + --print after_move:filepath returns all paths),"DownloadURL(ctx,req) new; Download kept as wrapper (untouched)",semaphore (max_concurrent) + background goroutine + per-job timeout ctx,optional/deferred (basic-auth fields noted omit-for-first-pass),no ports / host net (widen mount only),in-mem recent job map (cap 20),widen to full /media/music/youtube,in-mem only (cap 20),web_ui: 5-field (listen/download_dir/max_concurrent/timeout [+opt auth]) + relax jobs guard + require download_dir when enabled,unit (config defaults/web-enabled-no-jobs/neither-errors; ytdlp arg-helper video+audio flags; web URL validation) + manual e2e 4-step,none (Shutdown on stop; no recover),stdlib net/http + html/template single-page form + GET /status (no WebSockets/JS),-x --audio-format m4a,bestvideo+bestaudio --merge mkv,9691076,9571.9%,100.0%,76212,27613.0%,80.4%
6,opus-4-8,S,Deepest (facts block: deps/MPD 0.23.5/560G free),enqueue + separate auto-play,3 independent,Full,DownloadMedia (returns all paths),"worker pool (configurable, default 2)",Basic auth from config,no ports / host networking,bounded in-mem,widen to full dir,in-mem map (bounded),web: 7-field (auth/max_concurrent/archive) + relax jobs guard,build arm64 + go vet + smoke,worker pool + Shutdown on ctx (no recover),stdlib 1 self-contained template + meta refresh,-x --audio-format m4a -f bestaudio/best (m4a/AAC),bestvideo+bestaudio --merge mkv,3938356,3889.9%,40.6%,54065,19588.8%,57.1%
7,glm-5.2-cloud,S,Deep (cites commit bfe645a; MPD 192.168.10.22:6600; baseArgs reuse),enqueue one-shot AddID + Play if stopped,2 independent (+ auto-play-if-stopped),Full,DownloadURL (returns all paths),worker pool (max_concurrent) + same-URL dedup,Basic auth REQUIRED (refuse-start if missing),no ports needed (noted),durable JSONL (.webui-history.jsonl last 50),noted already-mounted on ithilien,DURABLE JSONL,web_ui: 8-field (auth/max_concurrent/timeout/history_path) + refuse-start,build arm64 + 10-step verify incl negative + regression (no unit tests),per-job 2h timeout + same-URL serialize + graceful shutdown (no recover),embed templates + static app.js 2s poll + css,-x --audio-format m4a -f bestaudio/best,bestvideo+bestaudio/best --merge mkv,2203985,2176.9%,22.7%,19526,7074.6%,20.6%
8,qwen3.5-397b,S,Deep+verified (git show all source @bfe645af; ssh'd ithilien AND read the real ~/scripts/yt.sh; also inspected later eefb43b internal/webui and deliberately chose fresh impl over extending it; asked 2 clarifying questions),"enqueue (new EnqueueMPD appends multiple paths, maps under music_root; separate explicit auto-play flag starts first item)",3 independent (Queue in MPD / Auto-play now / Dump video),Full (%(uploader)s/%(playlist_title)s/%(title)s (%(id)s).%(ext)s + -i + single shared --download-archive + --add-metadata),DownloadMedia new method w/ DownloadMediaRequest; returns []string of paths (existing Download untouched),worker pool (goroutines = max_concurrent) + channel job queue + per-job timeout (2h default),Basic auth from config (optional; no refuse-to-start),NOT ADDRESSED - no docker/compose/ports discussion at all,durable history.jsonl (append/list),GAP - no mount-widening note (downloads to /media/music/youtube may not surface on host tree),DURABLE JSONL (history.jsonl append-only + in-mem job state map),web_ui: 9-field (enabled/listen/username/password/download_dir/subdir/max_concurrent/timeout/archive_path) + defaults; no jobs-guard relax,manual only (7-scenario checklist: audio/video/playlist/channel/archive-dedup/MPD-enqueue/naming); no automated unit tests,panic recovery middleware on handlers + graceful shutdown on SIGINT/SIGTERM,"gin + html/template + //go:embed templates & static/app.js; polls /api/jobs, status badges, click-to-expand log",-x --audio-format m4a,bestvideo+bestaudio --merge-output-format mkv,3522070,3479.5%,36.3%,16520,5985.5%,17.4%
9,opus-4-7,S,"Deep (file:line refs, ssh'd to Pi)",append (no PlayID/monitor),2,Full,DownloadAdHoc,queue worker + per-job log,none,no ports needed,last 200 trimmed,widen to full RW,in-mem only,web: 3-field,queue+config+handler unit tests,defer recover() on handlers+worker,"embed.FS templates, refresh=3, /log tail",-x --audio-format m4a -f bestaudio[ext=m4a]/bestaudio,bestvideo+bestaudio --merge mkv --add-metadata,2140741,2114.4%,22.1%,41285,14958.3%,43.6%
10,fable-5 v1,S,Reflog-reconstructed @bfe645af (Bash outage blocked git show/ssh; flags verify-at-impl),enqueue (EnqueueMPD: AddID -1 + Update; no play),2 independent (both default off),Full (+ notes %(playlist_title|NA)s fallback to reconcile),DownloadMedia (Download untouched; returns all paths),worker pool (max_concurrent 2) + buffered queue + 503 when full + per-job context.WithTimeout + per-URL mutex,optional Basic auth (constant-time compare),no ports / host net (compose volume same path in/out),durable JSONL (event-fold survives restart),widen to full /media/music/youtube,DURABLE JSONL (event log folded to state),web_ui: 8-field (auth/max_concurrent/timeout/history_path) + relax jobs guard,build + go vet + unit tests (history-fold + PENDING/DONE parser) + smoke,worker pool + per-job timeout ctx + 10s graceful HTTP Shutdown (no recover),//go:embed html/template + vanilla app.js 2s poll + /log tail,-x --audio-format m4a,bestvideo+bestaudio --merge mkv,4757154,4698.7%,49.1%,65124,23595.7%,68.7%
11,kimi-k2.7-code-cloud,S,Deep,enqueue + auto-play,3,Full,DownloadURL (returns all paths),in-mem job manager,deferred v1 + per-job timeout,no ports + EXPOSE doc,per-job log buffer,full dir mount,in-mem job mgr,web_ui: 3-field (no hard default; guard moved to main),build + manual,ctx-cancel downloads + 2h per-job timeout,templates.go embed + poll script,-x --audio-format m4a,bestvideo+bestaudio --merge mkv --add-metadata,1765880,1744.2%,18.2%,30773,11149.6%,32.5%
12,minimax-m3,S,Deep (reuse audit w/ line nums; notes module != dir name),enqueue (EnqueueMPD),2 + per-job subdir,Full + per-subdir archive,DownloadLegacy + Inspect,durable worker + queue,none,no new mount (rationale),history.jsonl,none needed,DURABLE history.jsonl + map,webui: 5-field (mode/base_dir/history_dir),byte-identical regression + negative,workers drain on ctx,html/template + vanilla app.js 2s poll (textContent XSS-safe) + /api/suggest,-x --audio-format m4a --add-metadata,bestvideo+bestaudio --merge mkv --add-metadata,913835,902.6%,9.4%,14360,5202.9%,15.2%
13,sonnet-4-6,S,"Deep (disk size, app field names)",append (AddToMPDQueue),2,Full,DownloadWeb,goroutine + status,none,no ports,in-mem last-20,add full dir,in-mem,web: 3-field + relax jobs guard,build + manual,background ctx (tab-close safe); no recover,"embed HTML consts, refresh=3, /status, shortID",-x --audio-format m4a -f bestaudio[ext=m4a]/bestaudio,bestvideo+bestaudio --merge mkv --embed-metadata,1071596,1058.4%,11.1%,21710,7865.9%,22.9%
14,nemotron-3-ultra-cloud,A,Deep (cites commit bfe645a; lists files but flags need-to-verify mpd.go),append-leaning (new AddToMPDPlaylist; also refs PlayWithMPD),2 independent (MPD box only if enabled),Full + single-video template variant,DownloadURL + DownloadOptions (Download untouched) + GetInfo,goroutine per task; polling OR SSE (undecided),OPTIONAL basic auth (user/pass in config),Dockerfile+compose expose 8080 (redundant under host net),recent-downloads list,compose volume + expose port,in-mem only,webui: 5-field (address/download_dir/user/pass),build + manual 8-step,goroutine shutdown (no recover),stdlib OR Gin (undecided; leans stdlib) + inline HTML/JS poll,-x --audio-format m4a (audio default),bestvideo+bestaudio --merge mkv,2506482,2475.7%,25.9%,6938,2513.8%,7.3%
15,deepseek-v4-pro,B,Deep (real arch read; no commit hash but coherent),PlayWithMPD (INTERRUPTS),2 independent (MPD box only if enabled),Full + ErrAlreadyArchived sentinel + single-video variant,DownloadWithOptions + GetInfo; REFACTORS Download to delegate,in-mem TaskStore bounded 100 (evict oldest) + 3s poll,none,Docker ports 8080:8080 (breaks host net),task list (recent),compose volume + ports,in-mem (bounded 100),web: 5-field (incl output_template + archive_file),build + manual 8-step,goroutine + 5s server shutdown (no recover),embed templates + static css + vanilla JS 3s poll + status badges,-x --audio-format m4a (audio default),bestvideo+bestaudio --merge mkv,1389686,1372.6%,14.3%,19494,7063.0%,20.6%
16,gemma4-31b-cloud,A,Shallow,append (AddToMPD),2,Full,DownloadCustom,sync (no queue),none,not addressed,none,not mentioned,none,WebServer{Port int},manual local+remote,goroutine only,stdlib simple HTML no JS,-x --audio-format m4a,bestvideo+bestaudio --merge mkv,755971,746.7%,7.8%,7943,2877.9%,8.4%
17,gpt-oss-20b,B,Shallow (wrong path cmd/yt-daily-player/),PlayWithMPD (interrupts),2 independent,not addressed,DownloadWithOptions (modifies pattern),optional only,optional,--web/--web-port flags,status optional,not mentioned,none,CLI flags --web/--web-port,httptest + mock App,srv.Shutdown + semaphore noted,"html/template form, plain-text response",existing -x m4a (skip if video),skip -x + --yes-playlist; NO merge format,681992,673.6%,7.0%,29185,10574.3%,30.8%
18,gemini-3-flash-preview-cloud,B,Shallow,PlayWithMPD (interrupts),2,template (mkv),REFACTORS existing Download signature,none,none,not addressed,status log,not mentioned,none,WebConfig 3-field,manual,goroutine,net/http + embed assets HTML/JS,-x --audio-format m4a,bestvideo+bestaudio --merge mkv --add-metadata,631943,624.2%,6.5%,3172,1149.3%,3.3%
19,qwen3-coder-480b-cloud,C,Restated context,vague,2,DELIBERATELY wrong (states then overrides),vague,none,mentioned,ports expose,open-question,not mentioned,none,vague web settings,unit+integ+manual (phases),not addressed,responsive (vague),audio-only default,full video NO codec/format,2220312,2193.0%,22.9%,5359,1941.7%,5.7%
20,qwen3.5-cloud,B,Shallow,PlayWithMPD,2,no playlist_title in template,DownloadWithOptions,none,none,not addressed,fire-and-forget,not mentioned,none (no DB),ui: 3-field (download_root),manual build/run,goroutine,stdlib HTML no-build download.html,-x --audio-format m4a,bestvideo+bestaudio --merge MP4,2148833,2122.4%,22.2%,5938,2151.4%,6.3%
21,gemma4-agent-26b,B,Shallow,cron-play (misread),2,template only (no archive),modifies Download (adds videoOnly),none,none,not addressed,none,not mentioned,none,DownloadDir + YtdlpArgs,curl + UI manual,goroutine,index.html + script.js fetch,-x to .m4a,videoOnly bool; template only NO merge format,196884,194.5%,2.0%,276,100.0%,0.3%
22,gpt-oss-120b,B,Shallow,PlayWithMPD (interrupts),COUPLED (mpd tied to audio-only),template only,video only (DownloadVideo),none,none,adds ports (breaks host net),none,not mentioned,none,UIConfig{BindAddress} 0.0.0.0:8080,optional httptest,srv.Shutdown on ctx,net/http template form + success page,implied existing -x m4a,DownloadVideo no -x; .mkv in verify but NO merge flag,2351237,2322.3%,24.3%,24508,8879.7%,25.9%
23,mistral-large-3-675b-cloud,C,Shallow,extends PlayWithMPD,2,WRONG template (scheduler [id] pattern),DownloadContent,none,none,adds ports (breaks host net),status area,not mentioned (adds ports),none,web: enabled/port/auth,manual + edge cases,not addressed,GIN framework + html/css/js,-x --audio-format m4a,--format best (single-stream NO merge),598557,591.2%,6.2%,4286,1552.9%,4.5%
24,gemma4-26b,C,Shallow,cron-play (misread),1 (no video checkbox),not addressed,reuses existing Download,none,none,localhost generic,none,not mentioned,none,web_port if needed,manual + integration,graceful shutdown noted,web/index.html + fetch,m4a (existing),NO video option,675568,667.3%,7.0%,377,136.6%,0.4%
25,qwen-2.5-coder-14b,F,none (assumed Python),none,HTML only,not addressed,Python/Flask rewrite,none,none,Flask :5000,none,not mentioned,none,none,none,none,Flask Jinja template,unspecified,unspecified,101245,100.0%,1.0%,1758,637.0%,1.9%
